source_page,discovered_url,normalized_url,final_url,internal_or_external,resource_type,status_code,result,response_time_ms,content_type,depth,page_title,error_message,timestamp
https://europlan.be/nl/hardware/grafische-printers,/cdn-cgi/l/email-protection#7811161e17381d0d0a1708141916561a1d,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,44.0,text/html,3,,,2026-04-18T13:28:01.916187+00:00
https://europlan.be/nl/hardware/grafische-printers,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,39.2,text/html; charset=utf-8,3,,,2026-04-18T13:28:04.852727+00:00
https://europlan.be/nl/hardware/grafische-printers,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,658.0,text/html; charset=UTF-8,3,,,2026-04-18T13:28:05.510816+00:00
https://europlan.be/nl/hardware/grafische-printers,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,82.6,text/html; charset=UTF-8,3,,,2026-04-18T13:28:07.120357+00:00
https://europlan.be/nl/hardware/retail-posterprinting,/cdn-cgi/l/email-protection#4a23242c250a2f3f38253a262b2464282f,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,36.4,text/html,3,,,2026-04-18T13:28:12.574466+00:00
https://europlan.be/nl/hardware/retail-posterprinting,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,49.9,text/html; charset=utf-8,3,,,2026-04-18T13:28:13.564537+00:00
https://europlan.be/nl/hardware/retail-posterprinting,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,53.3,text/html; charset=UTF-8,3,,,2026-04-18T13:28:13.617935+00:00
https://europlan.be/nl/hardware/retail-posterprinting,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,52.4,text/html; charset=UTF-8,3,,,2026-04-18T13:28:14.095176+00:00
https://europlan.be/nl/hardware/grootformaat-scanners,/cdn-cgi/l/email-protection#6900070f06290c1c1b0619050807470b0c,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,62.8,text/html,3,,,2026-04-18T13:28:16.745907+00:00
https://europlan.be/nl/hardware/grootformaat-scanners,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,36.3,text/html; charset=utf-8,3,,,2026-04-18T13:28:17.754430+00:00
https://europlan.be/nl/hardware/grootformaat-scanners,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,59.6,text/html; charset=UTF-8,3,,,2026-04-18T13:28:17.814226+00:00
https://europlan.be/nl/hardware/grootformaat-scanners,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,61.0,text/html; charset=UTF-8,3,,,2026-04-18T13:28:18.240527+00:00
https://europlan.be/nl/hardware/vouwmachines,/cdn-cgi/l/email-protection#7c15121a133c19090e130c101d12521e19,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,39.3,text/html,3,,,2026-04-18T13:28:20.956110+00:00
https://europlan.be/nl/hardware/vouwmachines,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,47.2,text/html; charset=utf-8,3,,,2026-04-18T13:28:22.217318+00:00
https://europlan.be/nl/hardware/vouwmachines,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,40.2,text/html; charset=UTF-8,3,,,2026-04-18T13:28:22.257661+00:00
https://europlan.be/nl/hardware/vouwmachines,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,36.2,text/html; charset=UTF-8,3,,,2026-04-18T13:28:22.662554+00:00
https://europlan.be/nl/hardware/grootformaat-snijtafels,/cdn-cgi/l/email-protection#adc4c3cbc2edc8d8dfc2ddc1ccc383cfc8,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,32.3,text/html,3,,,2026-04-18T13:28:25.520821+00:00
https://europlan.be/nl/hardware/grootformaat-snijtafels,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,49.9,text/html; charset=utf-8,3,,,2026-04-18T13:28:26.626575+00:00
https://europlan.be/nl/hardware/grootformaat-snijtafels,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,57.4,text/html; charset=UTF-8,3,,,2026-04-18T13:28:26.684128+00:00
https://europlan.be/nl/hardware/grootformaat-snijtafels,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,62.5,text/html; charset=UTF-8,3,,,2026-04-18T13:28:27.283414+00:00
https://europlan.be/nl/oplossingen,/cdn-cgi/l/email-protection#f39a9d959cb39686819c839f929ddd9196,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,39.2,text/html,3,,,2026-04-18T13:28:30.394493+00:00
https://europlan.be/nl/oplossingen,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,50.7,text/html; charset=utf-8,3,,,2026-04-18T13:28:31.468564+00:00
https://europlan.be/nl/oplossingen,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,57.6,text/html; charset=UTF-8,3,,,2026-04-18T13:28:31.526334+00:00
https://europlan.be/nl/oplossingen,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,39.7,text/html; charset=UTF-8,3,,,2026-04-18T13:28:31.953808+00:00
https://europlan.be/nl/oplossingen/architectuur-bouw,/cdn-cgi/l/email-protection#f1989f979eb19484839e819d909fdf9394,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,40.1,text/html,3,,,2026-04-18T13:28:34.539365+00:00
https://europlan.be/nl/oplossingen/architectuur-bouw,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,41.7,text/html; charset=utf-8,3,,,2026-04-18T13:28:35.479012+00:00
https://europlan.be/nl/oplossingen/architectuur-bouw,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,57.1,text/html; charset=UTF-8,3,,,2026-04-18T13:28:35.536389+00:00
https://europlan.be/nl/oplossingen/architectuur-bouw,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,47.5,text/html; charset=UTF-8,3,,,2026-04-18T13:28:36.035767+00:00
https://europlan.be/nl/oplossingen/grafische-kunst,/cdn-cgi/l/email-protection#92fbfcf4fdd2f7e7e0fde2fef3fcbcf0f7,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,37.0,text/html,3,,,2026-04-18T13:28:38.526441+00:00
https://europlan.be/nl/oplossingen/grafische-kunst,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,54.1,text/html; charset=utf-8,3,,,2026-04-18T13:28:39.425136+00:00
https://europlan.be/nl/oplossingen/grafische-kunst,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,50.0,text/html; charset=UTF-8,3,,,2026-04-18T13:28:39.475258+00:00
